path,scan_and_pvol_count,error_no_vradh,radar
belgium/2014/20140429.tgz,53,53,bewid
belgium/2014/20140430.tgz,96,96,bewid
belgium/2014/20140501.tgz,96,96,bewid
belgium/2014/20140502.tgz,96,96,bewid
belgium/2014/20140503.tgz,96,96,bewid
belgium/2014/20140504.tgz,96,96,bewid
belgium/2014/20140505.tgz,96,96,bewid
belgium/2014/20140506.tgz,96,96,bewid
belgium/2014/20140507.tgz,96,96,bewid
belgium/2014/20140508.tgz,96,96,bewid
belgium/2014/20140509.tgz,96,96,bewid
belgium/2014/20140510.tgz,96,96,bewid
belgium/2014/20140511.tgz,96,96,bewid
belgium/2014/20140512.tgz,96,96,bewid
belgium/2014/20140513.tgz,96,96,bewid
belgium/2014/20140514.tgz,96,96,bewid
belgium/2014/20140515.tgz,96,96,bewid
belgium/2014/20140516.tgz,96,96,bewid
belgium/2014/20140517.tgz,96,96,bewid
belgium/2014/20140518.tgz,96,96,bewid
belgium/2014/20140519.tgz,75,75,bewid
belgium/2014/20140520.tgz,96,96,bewid
belgium/2014/20140521.tgz,96,96,bewid
belgium/2014/20140522.tgz,96,96,bewid
belgium/2014/20140523.tgz,96,96,bewid
belgium/2014/20140524.tgz,96,96,bewid
belgium/2014/20140525.tgz,96,96,bewid
belgium/2014/20140526.tgz,96,96,bewid
belgium/2014/20140527.tgz,96,96,bewid
belgium/2014/20140528.tgz,96,96,bewid
belgium/2014/20140529.tgz,96,96,bewid
belgium/2014/20140530.tgz,96,96,bewid
belgium/2014/20140531.tgz,96,96,bewid
belgium/2014/20140601.tgz,96,96,bewid
belgium/2014/20140602.tgz,96,96,bewid
belgium/2014/20140603.tgz,90,90,bewid
belgium/2014/20140604.tgz,96,96,bewid
belgium/2014/20140605.tgz,96,96,bewid
belgium/2014/20140606.tgz,96,96,bewid
belgium/2014/20140607.tgz,96,96,bewid
belgium/2014/20140608.tgz,96,96,bewid
belgium/2014/20140609.tgz,96,96,bewid
belgium/2014/20140610.tgz,93,93,bewid
belgium/2014/20140611.tgz,96,96,bewid
belgium/2014/20140612.tgz,96,96,bewid
belgium/2014/20140613.tgz,96,96,bewid
belgium/2014/20140614.tgz,96,96,bewid
belgium/2014/20140615.tgz,96,96,bewid
belgium/2014/20140616.tgz,96,96,bewid
belgium/2014/20140617.tgz,92,92,bewid
belgium/2014/20140618.tgz,96,96,bewid
belgium/2014/20140619.tgz,96,96,bewid
belgium/2014/20140620.tgz,96,96,bewid
belgium/2014/20140621.tgz,96,96,bewid
belgium/2014/20140622.tgz,96,96,bewid
belgium/2014/20140623.tgz,96,96,bewid
belgium/2014/20140624.tgz,96,96,bewid
belgium/2014/20140625.tgz,96,96,bewid
belgium/2014/20140626.tgz,96,96,bewid
